Reg,REGTYPENAME,CLASSPROFILENAME,EONAME,EOTYPENAME,UKRTEST,UKRBALL100,HISTTEST,HISTLANG,HISTTESTSTATUS,HISTBALL100,MATHTEST,MATHLANG,MATHTESTSTATUS,MATHBALL100,PHYSTEST,PHYSLANG,PHYSTESTSTATUS,PHYSBALL100,CHEMTEST,CHEMLANG,CHEMTESTSTATUS,CHEMBALL100,BIOTEST,BIOLANG,BIOTESTSTATUS,BIOBALL100,GEOTEST,GEOLANG,GEOTESTSTATUS,GEOBALL100,ENGTEST,ENGTESTSTATUS,ENGBALL100,FRATEST,FRATESTSTATUS,FRABALL100,DEUTEST,DEUTESTSTATUS,DEUBALL100
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №30 м.Львова,середня загальноосвітня школа,Українська мова і література,192,Історія України,українська,Зараховано,156,,,,,,,,,,,,,Біологія,українська,Зараховано,184,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня школа №21 м. Львова,середня загальноосвітня школа,Українська мова і література,171,Історія України,українська,Зараховано,156,,,,,,,,,,,,,Біологія,українська,Зараховано,153,,,,,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська лінгвістична гімназія Львівської міської ради Львівської області,гімназія,Українська мова і література,192,Історія України,українська,Зараховано,142,,,,,,,,,Хімія,українська,Зараховано,170,Біологія,українська,Зараховано,188,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №84 імені Блаженної Йосафати Гордашевської,середня загальноосвітня школа,Українська мова і література,107,Історія України,українська,Зараховано,102,,,,,,,,,,,,,Біологія,українська,Зараховано,123,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,126,Історія України,українська,Зараховано,172,,,,,,,,,,,,,Біологія,українська,Зараховано,109,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Спортивний,"Комунальний заклад Львівської обласної ради ""Львівське училище фізичної культури"" (загальноосвітня школа-інтернат)",середня загальноосвітня школа-інтернат,Українська мова і література,163,Історія України,українська,Зараховано,122,,,,,,,,,,,,,Біологія,українська,Зараховано,157,,,,,Англійська мова,Не з’явився,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №42 м. Львова,середня загальноосвітня школа,Українська мова і література,150,Історія України,українська,Зараховано,140,Математика,українська,Не з’явився,,,,,,,,,,,,,,Географія,українська,Зараховано,116,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Технологічний,Спеціалізована середня загальноосвітня школа І-ІІІ ступенів №66 з поглибленим вивченням англійської мови та інформаційних технологій м.Львова,середня загальноосвітня школа,Українська мова і література,158,,,,,Математика,українська,Зараховано,143,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,156,,,,,,
м.Винники,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Загальноосвітня школа ""Берегиня"" м. Львова",середня загальноосвітня школа,Українська мова і література,157,,,,,Математика,українська,Зараховано,129,,,,,,,,,Біологія,українська,Зараховано,116,,,,,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська лінгвістична гімназія Львівської міської ради Львівської області,гімназія,Українська мова і література,150,Історія України,українська,Зараховано,175,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,151,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,163,Історія України,українська,Зараховано,166,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,124,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №78 м. Львова,середня загальноосвітня школа,Українська мова і література,102,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,Біологія,українська,Зараховано,103,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня загальноосвітня школа №98,середня загальноосвітня школа,Українська мова і література,188,Історія України,українська,Зараховано,128,Математика,українська,Зараховано,175,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,159,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська правнича гімназія,гімназія,Українська мова і література,175,,,,,Математика,українська,Зараховано,162,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №42 м. Львова,середня загальноосвітня школа,Українська мова і література,109,,,,,Математика,українська,Зараховано,124,,,,,,,,,,,,,,,,,Англійська мова,Не подолав поріг,0,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,,,,,,Математика,українська,Не з’явився,,,,,,,,,,Біологія,українська,Не з’явився,,Географія,українська,Не з’явився,,,,,,,,,,
Франківський район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,197.5,Історія України,українська,Зараховано,198,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,200,Англійська мова,Зараховано,192,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,141,Історія України,українська,Зараховано,105,,,,,,,,,,,,,Біологія,українська,Зараховано,162,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №72,середня загальноосвітня школа,Українська мова і література,178,Історія України,українська,Зараховано,131,Математика,українська,Зараховано,147,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,186,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Військово-спортивний,"Комунальний заклад Львівської обласної ради ""Львівський державний ліцей з посиленою військово-фізичною підготовкою імені Героїв Крут""",ліцей,Українська мова і література,150,Історія України,українська,Зараховано,153,Математика,українська,Зараховано,131,,,,,,,,,,,,,Географія,українська,Зараховано,168,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Спеціалізована середня загальноосвітня школа з поглибленим вивченням англійської мови №18 м. Львова,середня загальноосвітня школа,Українська мова і література,187,Історія України,українська,Зараховано,128,Математика,українська,Зараховано,170,,,,,,,,,Біологія,українська,Зараховано,177,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Спортивний,"Комунальний заклад Львівської обласної ради ""Львівське училище фізичної культури"" (загальноосвітня школа-інтернат)",середня загальноосвітня школа-інтернат,Українська мова і література,153,Історія України,українська,Зараховано,128,,,,,,,,,,,,,Біологія,українська,Зараховано,160,Географія,українська,Зараховано,146,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Фізико-математичний,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті імені Івана Франка,ліцей,Українська мова і література,191,,,,,Математика,українська,Зараховано,199,,,,,Хімія,українська,Не з’явився,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
м.Винники,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №29 м. Львова,середня загальноосвітня школа,Українська мова і література,142,Історія України,українська,Зараховано,131,,,,,,,,,,,,,Біологія,українська,Зараховано,113,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Військово-спортивний,"Комунальний заклад Львівської обласної ради ""Львівський державний ліцей з посиленою військово-фізичною підготовкою імені Героїв Крут""",ліцей,Українська мова і література,167,Історія України,українська,Зараховано,159,Математика,українська,Зараховано,173,,,,,,,,,,,,,Географія,українська,Зараховано,148,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Біолого-хімічний,Середня загальноосвітня школа І-ІІІ ступенів №50 м. Львова,середня загальноосвітня школа,Українська мова і література,180,Історія України,українська,Зараховано,151,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,104,Історія України,українська,Не подолав поріг,0,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,Географія,українська,Зараховано,114,,,,,,,,,
Галицький район міста,Випускник минулих років,,,,Українська мова і література,123,Історія України,українська,Зараховано,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №28 з поглибленим вивченням німецької мови,середня загальноосвітня школа,Українська мова і література,195,Історія України,українська,Зараховано,199,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,,,,,,,Німецька мова,Зараховано,200
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,158,Історія України,українська,Зараховано,171,,,,,,,,,,,,,Біологія,українська,Не з’явився,,,,,,Англійська мова,Зараховано,143,,,,,,
Франківський район міста,Випускник минулих років,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня загальноосвітня школа №98,середня загальноосвітня школа,Українська мова і література,114,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,Географія,українська,Не подолав поріг,0,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступеня №91 м. Львова,середня загальноосвітня школа,Українська мова і література,159,Історія України,українська,Зараховано,169,,,,,,,,,Хімія,українська,Зараховано,160,Біологія,українська,Зараховано,184,,,,,,,,,,,,,
Франківський район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,Математика,українська,Не з’явився,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №5 ім. Іванни та Іллі Кокорудзів з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,199.5,,,,,Математика,українська,Зараховано,191,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,190,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Середня загальноосвітня школа №97,середня загальноосвітня школа,Українська мова і література,175,Історія України,українська,Зараховано,136,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,177,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,177,Історія України,українська,Зараховано,156,Математика,українська,Зараховано,131,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,170,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Екологічний,Львівська середня загальноосвітня школа І-ІІІ ступенів №71 Львівської міської ради Львівської області,середня загальноосвітня школа,Українська мова і література,191,Історія України,українська,Зараховано,182,,,,,,,,,,,,,Біологія,українська,Зараховано,188,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Військово-спортивний,"Комунальний заклад Львівської обласної ради ""Львівський державний ліцей з посиленою військово-фізичною підготовкою імені Героїв Крут""",ліцей,Українська мова і література,148,,,,,Математика,українська,Зараховано,168,,,,,Хімія,українська,Зараховано,172,Біологія,українська,Зараховано,149,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Біолого-хімічний,"Львівський навчально-виховний комплекс ""Школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,185,,,,,Математика,українська,Зараховано,179,,,,,Хімія,українська,Зараховано,163,Біологія,українська,Зараховано,162,,,,,,,,,,,,,
Личаківський район міста,Випускник минулих років,,,,Українська мова і література,173,,,,,Математика,українська,Зараховано,157,Фізика,українська,Зараховано,138,,,,,,,,,Географія,українська,Зараховано,190,,,,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,175,Історія України,українська,Зараховано,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ім. В. Симоненка з поглибленим вивченням німецької мови ""Спеціалізована школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,191,Історія України,українська,Зараховано,174,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,162,,,,,,
Галицький район міста,Випускник минулих років,,,,Українська мова і література,123,Історія України,українська,Зараховано,111,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,148,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Навчально-виховний комплекс ""Школа-гімназія І-ІІІ ступенів Блаженного Климентія та Андрея Шептицьких""",гімназія,Українська мова і література,186,Історія України,українська,Зараховано,162,,,,,,,,,,,,,,,,,,,,,,,,,,,Німецька мова,Зараховано,186
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа І-ІІІ ступенів №17 міста Львова,середня загальноосвітня школа,Українська мова і література,186,Історія України,українська,Зараховано,185,Математика,українська,Зараховано,141,,,,,,,,,,,,,,,,,,,,,,,,,
Залізничний район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,143,Історія України,українська,Зараховано,105,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,124,Англійська мова,Зараховано,140,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Художньо-естетичний,Львівський художній ліцей при Львівській національній академі мистецтв,ліцей,Українська мова і література,157,Історія України,українська,Зараховано,133,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,140,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №40 м. Львова,середня загальноосвітня школа,Українська мова і література,104,,,,,Математика,українська,Зараховано,107,Фізика,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,,,,,
Сихівський район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,133,,,,,Математика,українська,Зараховано,166,Фізика,українська,Не з’явився,,,,,,,,,,,,,,Англійська мова,Зараховано,132,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Технологічний,Спеціалізована середня загальноосвітня школа І-ІІІ ступенів №66 з поглибленим вивченням англійської мови та інформаційних технологій м.Львова,середня загальноосвітня школа,Українська мова і література,162,Історія України,українська,Зараховано,169,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,124,,,,,,
Личаківський район міста,Випускник минулих років,,,,Українська мова і література,138,Історія України,українська,Зараховано,128,Математика,українська,Зараховано,113,,,,,,,,,,,,,Географія,українська,Зараховано,135,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №68 м. Львова,середня загальноосвітня школа,Українська мова і література,167,,,,,Математика,українська,Зараховано,143,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ""Школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,187,,,,,Математика,українська,Зараховано,179,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Класична гімназія при Львівському національному університеті імені Івана Франка,гімназія,Українська мова і література,169,Історія України,українська,Зараховано,190,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,170,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Львівська загальноосвітня школа І-ІІІ ступенів №82 Львівської міської ради Львівської області,середня загальноосвітня школа,Українська мова і література,142,Історія України,українська,Зараховано,131,,,,,,,,,,,,,Біологія,українська,Зараховано,151,,,,,Англійська мова,Не з’явився,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Біолого-хімічний,Середня загальноосвітня школа №13 м.Львова,середня загальноосвітня школа,Українська мова і література,153,Історія України,українська,Зараховано,158,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,170,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №6 м. Львова,середня загальноосвітня школа,Українська мова і література,102,Історія України,російська,Зараховано,122,,,,,,,,,,,,,,,,,Географія,російська,Зараховано,144,,,,,,,,,
смт Брюховичі,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,115,,,,,,,,,,,,,Хімія,українська,Зараховано,113,Біологія,українська,Зараховано,144,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інформаційно-технологічний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,196,,,,,Математика,українська,Зараховано,188,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,186,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №22 імені В. Стефаника,середня загальноосвітня школа,Українська мова і література,117,Історія України,українська,Зараховано,111,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,124,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована школа І-ІІІ-го ступенів №15 з поглибленим вивченням англійської та французької мов Львівської міської ради,спеціалізована школа,Українська мова і література,182,Історія України,українська,Зараховано,175,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №70 м. Львова,середня загальноосвітня школа,Українська мова і література,190,Історія України,українська,Зараховано,188,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,Англійська мова,Зараховано,182,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,139,Історія України,українська,Зараховано,111,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Технологічний,Спеціалізована середня загальноосвітня школа І-ІІІ ступенів №66 з поглибленим вивченням англійської мови та інформаційних технологій м.Львова,середня загальноосвітня школа,Українська мова і література,182,Історія України,українська,Зараховано,177,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,Англійська мова,Зараховано,172,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №63 м.Львова,середня загальноосвітня школа,Українська мова і література,194,Історія України,українська,Зараховано,199,,,,,,,,,Хімія,українська,Зараховано,194,Біологія,українська,Зараховано,189,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня школа №21 м. Львова,середня загальноосвітня школа,Українська мова і література,159,,,,,Математика,українська,Зараховано,136,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,143,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,195,,,,,Математика,українська,Зараховано,186,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,191,Історія України,українська,Зараховано,172,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,192,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Європейський""",навчально-виховний комплекс,Українська мова і література,114,Історія України,українська,Зараховано,136,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,124,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Спеціалізована середня загальноосвітня школа №52 ім. М. Лобачевського з поглибленим вивченням математичних наук м. Львова,спеціалізована школа,Українська мова і література,164,Історія України,українська,Зараховано,131,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,178,Англійська мова,Зараховано,137,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,159,Історія України,українська,Зараховано,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Навчально-виховний комплекс ""Школа-садок "" ""Софія""  м. Львова",навчально-виховний комплекс,Українська мова і література,131,Історія України,українська,Зараховано,100,,,,,,,,,,,,,Біологія,українська,Зараховано,116,,,,,Англійська мова,Не подолав поріг,0,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Львівський навчально-виховний комплекс ім. В. Симоненка з поглибленим вивченням німецької мови ""Спеціалізована школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,152,Історія України,українська,Зараховано,144,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,124,,,,,,
м.Винники,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №47 м. Львова,середня загальноосвітня школа,Українська мова і література,178,Історія України,українська,Не подолав поріг,0,,,,,,,,,Хімія,українська,Зараховано,180,Біологія,українська,Зараховано,163,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська правнича гімназія,гімназія,Українська мова і література,186,Історія України,українська,Зараховано,174,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,197,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №73,середня загальноосвітня школа,Українська мова і література,138,Історія України,українська,Зараховано,144,,,,,,,,,,,,,Біологія,українська,Зараховано,133,,,,,Англійська мова,Не подолав поріг,0,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №50 м. Львова,середня загальноосвітня школа,Українська мова і література,107,Історія України,українська,Зараховано,111,,,,,,,,,,,,,Біологія,українська,Зараховано,109,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №13 м.Львова,середня загальноосвітня школа,Українська мова і література,152,Історія України,українська,Зараховано,136,Математика,українська,Зараховано,143,,,,,,,,,,,,,,,,,,,,,,,,,
